timestamp,total_memory,used_memory,free_memory
2024-05-16 03:14:26,60258,2636,26453
2024-05-16 03:14:31,60258,3097,25989
2024-05-16 03:14:36,60258,3267,25819
2024-05-16 03:14:41,60258,3268,25817
2024-05-16 03:14:46,60258,3270,25815
2024-05-16 03:14:51,60258,3272,25814
2024-05-16 03:14:56,60258,3274,25811
2024-05-16 03:15:01,60258,3275,25810
2024-05-16 03:15:06,60258,3275,25810
2024-05-16 03:15:11,60258,3288,25797
2024-05-16 03:15:16,60258,3251,25834
2024-05-16 03:15:21,60258,3261,25824
2024-05-16 03:15:26,60258,3257,25828
2024-05-16 03:15:31,60258,3257,25828
2024-05-16 03:15:36,60258,3265,25820
2024-05-16 03:15:41,60258,3266,25819
2024-05-16 03:15:46,60258,2679,26406
2024-05-16 03:15:51,60258,2679,26406
2024-05-16 03:15:56,60258,2610,26475
2024-05-16 03:16:01,60258,2604,26481
2024-05-16 03:16:06,60258,2604,26481
2024-05-16 03:16:11,60258,2604,26481
2024-05-16 03:16:16,60258,2605,26480
2024-05-16 03:16:21,60258,2605,26480
2024-05-16 03:16:26,60258,2606,26479
2024-05-16 03:16:31,60258,2607,26478
2024-05-16 03:16:36,60258,2567,26518
2024-05-16 03:16:41,60258,2567,26518
2024-05-16 03:16:46,60258,2567,26518
2024-05-16 03:16:51,60258,2567,26518
2024-05-16 03:16:56,60258,2575,26510
2024-05-16 03:17:01,60258,2576,26509
2024-05-16 03:17:06,60258,2576,26509
2024-05-16 03:17:11,60258,2576,26509
2024-05-16 03:17:16,60258,2572,26513
2024-05-16 03:17:21,60258,2572,26513
2024-05-16 03:17:26,60258,2573,26512
2024-05-16 03:17:31,60258,2566,26519
2024-05-16 03:17:36,60258,2559,26526
2024-05-16 03:17:41,60258,2562,26523
2024-05-16 03:17:46,60258,2562,26523
2024-05-16 03:17:51,60258,2563,26522
2024-05-16 03:17:56,60258,2563,26522
2024-05-16 03:18:01,60258,2563,26521
2024-05-16 03:18:07,60258,2564,26521
2024-05-16 03:18:12,60258,2564,26521
2024-05-16 03:18:17,60258,2564,26520
2024-05-16 03:18:22,60258,2568,26517
2024-05-16 03:18:27,60258,2568,26516
2024-05-16 03:18:32,60258,2569,26516
2024-05-16 03:18:37,60258,2569,26516
2024-05-16 03:18:42,60258,2569,26516
2024-05-16 03:18:47,60258,2564,26520
2024-05-16 03:18:52,60258,2565,26520
2024-05-16 03:18:57,60258,2565,26519
2024-05-16 03:19:02,60258,2566,26519
2024-05-16 03:19:07,60258,2550,26535
2024-05-16 03:19:12,60258,2551,26534
2024-05-16 03:19:17,60258,2551,26533
2024-05-16 03:19:22,60258,2551,26533
2024-05-16 03:19:27,60258,2552,26533
2024-05-16 03:19:32,60258,2549,26536
2024-05-16 03:19:37,60258,2549,26535
2024-05-16 03:19:42,60258,2550,26535
2024-05-16 03:19:47,60258,2550,26534
2024-05-16 03:19:52,60258,2551,26533
2024-05-16 03:19:57,60258,2552,26533
2024-05-16 03:20:02,60258,2552,26532
2024-05-16 03:20:07,60258,2553,26532
2024-05-16 03:20:12,60258,2553,26532
2024-05-16 03:20:17,60258,2556,26529
2024-05-16 03:20:22,60258,2556,26529
2024-05-16 03:20:27,60258,2557,26528
2024-05-16 03:20:32,60258,2558,26527
2024-05-16 03:20:37,60258,2558,26526
2024-05-16 03:20:42,60258,2560,26525
2024-05-16 03:20:47,60258,2561,26524
2024-05-16 03:20:52,60258,2554,26530
2024-05-16 03:20:57,60258,2555,26529
2024-05-16 03:21:02,60258,2555,26529
2024-05-16 03:21:07,60258,2550,26534
2024-05-16 03:21:12,60258,2550,26534
2024-05-16 03:21:17,60258,2551,26534
2024-05-16 03:21:22,60258,2551,26533
2024-05-16 03:21:27,60258,2551,26533
2024-05-16 03:21:32,60258,3021,26063
2024-05-16 03:21:37,60258,3890,25194
2024-05-16 03:21:42,60258,4474,24610
2024-05-16 03:21:47,60258,5132,23953
2024-05-16 03:21:52,60258,5791,23294
2024-05-16 03:21:57,60258,6458,22627
2024-05-16 03:22:02,60258,7097,21987
2024-05-16 03:22:07,60258,7855,21229
2024-05-16 03:22:12,60258,8267,20817
2024-05-16 03:22:17,60258,8265,20819
